Title,Approved_x0020_Installations,Download_x0020_Centre,Installed_x0020_by_x0020_SCC,_Comments,Licence_x0020_Location,Additional_x0020_Costs,Type_x0020_of_x0020_Licence
Microsoft Expression Encoder Screen Capture Codec,Approved to install,,FALSE,,N/A,,
Microsoft Fix it 50399,Approved to install,,FALSE,,N/A,,
Microsoft Lync 2010 *64bit*,Approved to install,,FALSE,,N/A,,
Microsoft Lync 2010 32bit,Approved to install,,FALSE,,N/A,,
Microsoft Office 2016 Pro Plus (SP1) Full suite not individual components,Approved to install,SCCM,FALSE,,N/A,,
Microsoft Office 365 Pro Plus (SP1) Full suite not individual components,Approved to install,SCCM,FALSE,,N/A,,
Microsoft Phone Companion App,Approved to install,,FALSE,,N/A,,
Microsoft Query (tool with Excel),Approved to install,,FALSE,,N/A,,
Microsoft Office Picture Manager (MSPAINT),Approved to install,,FALSE,,N/A,,
Microsoft Report Builder - SQL license needed,Approved to install,,FALSE,,N/A,,
Microsoft Silverlight,Approved to install,,FALSE,,N/A,,
Microsoft Visio Viewer,Approved to install,SCCM,TRUE,,N/A,,
MigRec - Egress Reconcilliation,Approved to install,,FALSE,,N/A,,
Mind Genius,Approved to install,,FALSE,,N/A,,
Mind Manager Pro 7,Approved to install,,FALSE,,N/A,,
Mitel Client Contact Centre,Approved to install,,FALSE,,N/A,,
Mozilla Firefox 24.0,Approved to install,,FALSE,,N/A,,
Multisuite AutoCad addin KPS only,Approved to install,,FALSE,,N/A,,
NBS Create Plug in for Revit 2016/2017,Approved to install,,FALSE,,N/A,,
NCH Pixillion Image Convertor PDF to PNG,Approved to install,,FALSE,,N/A,,
Netbeams,Open Source Dev Tool for Java,,FALSE,,N/A,,
Nikon ViewNX2 Camera software,Approved to install,,FALSE,,N/A,,
Notepad+++ vs 6.9.1,Approved to install,,FALSE,,N/A,,
NRGSurveys,Approved to install,,FALSE,,N/A,,
Nuance Enterprise PDF (Reader),Approved to install,,FALSE,,N/A,,
OBS Projects (developing videos),Approved to install,,FALSE,,N/A,,
OfficeRemoteSetup,Approved to install,,FALSE,,N/A,,
Omega software,configure data for loggers  that record temperature,,FALSE,,N/A,,
Omniinstructuments - Digital manometer with data logger,Approved to install,,FALSE,,N/A,,
OneSource Corporate Tax,Approved to install,,FALSE,,N/A,,
Open Text Explorer Professional 10.0.0 32bit (OpenText),Approved to install,,FALSE,,N/A,,
OpenText WebDAV ActiveX Control 10.0.1 English,Approved to install,,FALSE,Needs to be installed if Causeway ECM is selected,N/A,,
OpenText Enterprise Connect Framework (64-bit) 10.2.0,Approved to install,SCCM,FALSE,,N/A,,
Oracel SQL download,Approved to install,,FALSE,,N/A,,
Oracle  - User Productivity Kit,Approved to install,,FALSE,,N/A,,
Oracle Dataload,Approved to install,,FALSE,,N/A,,
"Oracle Hyperion Smartview (excel add-on, must close all MS apps. Please note that old version needs to be removed)",Approved to install,SCCM,FALSE,,N/A,,
PaperCut MF Print management software.,Approved to install,,FALSE,,N/A,,
PDF Binder,Approved to install,,FALSE,,N/A,,
PDF Direct/Redirect,Approved to install,,FALSE,,N/A,,
PDF SAM,Approved to install,,FALSE,,N/A,,
PDF Toolkit (Highways tool) vs2.4,Approved to install,,FALSE,,N/A,,
PDFForge,Approved to install,,FALSE,,N/A,,
Planner (Office 365),Approved to install,,FALSE,,N/A,,
PocketGAD (Highways England),Approved to install,,FALSE,,N/A,,
Portacount Fitpro (Quantitive Fit Testing for numerical measure called Fit Factor),Approved to install,,FALSE,,N/A,,
Power Query/Pivot for Excel (add-ons),Approved to install,,FALSE,,N/A,,
PowerBI Desktop,Approved to install,,FALSE,,N/A,,
Prezi,Approved to install,,FALSE,,N/A,,
Primetest 250,Approved to install,,FALSE,,N/A,,
Pro Map for Kier Living only,Approved to install,,FALSE,,N/A,,
Project Expert (Asta Elecosoft),Approved to install,,FALSE,,N/A,,
ProjectLibre,Approved to install,SCCM,FALSE,,N/A,,
Project Viewer,Approved to install,,FALSE,,N/A,,
PS2PDF,Approved to install,,FALSE,,N/A,,
PST freeviewer,Approved to install,,FALSE,,N/A,,
Pxx Data Copy,Approved to install,,FALSE,,N/A,,
Q Connect label design,Approved to install,,FALSE,,N/A,,
Q&A Excel Add in,Approved to install,,FALSE,,N/A,,
QGIS,Approved to install,,FALSE,,N/A,,
RationalPlan,Approved to install,,FALSE,,N/A,,
Reactec card reader (for recording Hand Arm Vibration Syndrome),Approved to install,,FALSE,,N/A,,
Redi Rock Wall,Approved to install,,FALSE,,N/A,,
Relux (Lighting Reality),Approved to install,,FALSE,,N/A,,
Resource guru,Approved to install,,FALSE,,N/A,,
Revizto (Autodesk),Approved to install,,FALSE,,N/A,,
Ricoh Theta 360 (viewer),Approved to install,,FALSE,,N/A,,
Riverbed Steelhead Mobile 49.2.20485.5,Approved to install,,FALSE,,N/A,,
RMD Beam - KPS only,Approved to install,,FALSE,,N/A,,
RMD Kwikfrom (KPS) \\thfilestore\kps_common\F Administration\F5 IT\Software\RMD Kwikform,Approved to install,,FALSE,,N/A,,
RocPlane,Approved to install,,FALSE,,N/A,,
Sage,Approved to install,,FALSE,,N/A,,
Samsung SideSync,Approved to install,,FALSE,,N/A,,
SAP Business Objects Infoview,Approved to install,,FALSE,,N/A,,
SAP EPM 10.0 Excel Add-In,Approved to install,,FALSE,,N/A,,
SAP GUI,Approved to install,,FALSE,,N/A,,
Sci eBlueBook - KPS only,Approved to install,,FALSE,,N/A,,
Sedlog,Approved to install,,FALSE,,N/A,,
Servitor 7 Java Certificates,Approved to install,,FALSE,,N/A,,
Servitor Jinitiator Fix,Approved to install,,FALSE,,N/A,,
Servitor Sheffield - need Java,Approved to install,,FALSE,,N/A,,
Servitor Shortcut (single core) - need Java,Approved to install,,FALSE,,N/A,,
Servitor Single-Core Shortcut - need Java,Approved to install,,FALSE,,N/A,,
Servitor Stoke & Leeds - need Java,Approved to install,,FALSE,,N/A,,
Servitor Tyneside (single core) - need Java,Approved to install,,FALSE,,N/A,,
Sharepoint Designer 2013,Approved to install,,FALSE,,N/A,,
Sketchup Free (for Graduate students only),Approved to install,,FALSE,,N/A,,
Skype for Business (Lync),Approved to install,,FALSE,,N/A,,
SmartView Fluke,"link to be added, wtg for KK inc0261091",,FALSE,,N/A,,
Snooperneo Sat Nav system (Kier Fleet Trucks),Approved to install,,FALSE,,N/A,,
SoapUI,Approved to install,,FALSE,,N/A,,
SoftwareAG software  to develop ESB,Approved to install (Iain Hendry ESB),,FALSE,,N/A,,
SoftwareSystems (apps free for tablets/phones),Approved to install,,FALSE,,N/A,,
Solibri (Model viewer),Approved to install,,FALSE,,N/A,,
Sourceforge,Approved to install,,FALSE,,N/A,,
Sparx - Architect Enterprise,Approved to install,,FALSE,,N/A,,
SPSS (Aston University),Approved to install,,FALSE,,N/A,,
SPX Radiodetection CAT manager,Approved to install,,FALSE,,N/A,,
SQL Server Express 2016,Approved to install,,FALSE,,N/A,,
Starnet KPS only,Approved to install,,FALSE,,N/A,,
R Studio,Approved to install,,FALSE,,N/A,,
R Archive (stats),Approved to install,,FALSE,,N/A,,
SuperStress Graitec - KPS only,Approved to install,,FALSE,,N/A,,
Supportworks Client 7.6.1 Build 8976,Approved to install,,FALSE,,N/A,,
Swedge,Approved to install,,FALSE,,N/A,,
Synchro Freeview,Approved to install,,FALSE,,N/A,,
System Tools Kit - AGI,Approved to install,,FALSE,,N/A,,
Tableau reader,Approved to install,,FALSE,,N/A,,
Tachograph Downloads,Approved to install - minimal charge after  trial to be paid by DD,,FALSE,,N/A,,
Tag and Card manager software Reactecanalytics platform,approved to install,,FALSE,,N/A,,
Tata Interactive Blue Book - KPS only,Approved to install,,FALSE,,N/A,,
Technolog PMAC datalogger,Approved to install,,FALSE,,N/A,,
Tekla BIMsight - please note this is not Clearbox Insight - KPS only,Approved to install,,FALSE,,N/A,,
Tekla Fastrak Building Designer - KPS only,Approved to install,,FALSE,,N/A,,
Tekla Fastrak Portal Frame - KPS only,Approved to install,,FALSE,,N/A,,
Tekla TEDDS (CSC) - KPS only,Approved to install,,FALSE,,N/A,,
Tekla Viewer KPS only,Approved to install,,FALSE,,N/A,,
Tempro,Approved to install,,FALSE,,N/A,,
TensarPave - KPS only,Approved to install,,FALSE,,N/A,,
TensarSoil - KPS only,Approved to install,,FALSE,,N/A,,
Teraterm,Approved to install,,FALSE,,N/A,,
Testo.org comsoft,Approved to install,,FALSE,,N/A,,
TFS (Team Foundation Server) VSTS (Visual Studio Team Services) Microsoft Azure portal,Approved to install,,FALSE,,N/A,,
TG20-13 eguide,Approved to install,,FALSE,,N/A,,
"The Key (FM purchase ledger - supported by them/installed by KWS, IT Basingstoke)",Approved to install,,FALSE,,N/A,,
Toolkit8 Design Software,Approved to install,,FALSE,,N/A,,
Tranman,Approved to install,,FALSE,,N/A,,
Turning Technologies - Turning Point,Approved to install,,FALSE,,N/A,,
Viberock V9000 Seismograph Digital,Approved to install,,FALSE,,N/A,,
VideoScribe,Approved to install,,FALSE,,N/A,,
Visisat Configuration Tool,Approved to install,,FALSE,,N/A,,
VisioViewer,Approved to install,,FALSE,,N/A,,
VLC – Video Player,Approved to install,,FALSE,,N/A,,
VNC,Approved to install,,FALSE,,N/A,,
Windows Mobile Device Centre,Approved to install,,FALSE,,N/A,,
WinCan Viewer Drainage Inspection,Approved to install,,FALSE,,N/A,,
Winrar,Approved to install,,FALSE,,N/A,,
Winscp (SFTP client),Approved to install,,FALSE,,N/A,,
Wireshark,Approved to install,,FALSE,,N/A,,
WPD WOMS (Logicity Desktop Inc),Approved to install,,FALSE,,N/A,,
Write IT (Windows 10),Approved to install,,FALSE,,N/A,,
Zoomtext,Approved to install,,FALSE,,N/A,,
Java 8 Upate 91 (Boost),Approved to install,,FALSE,,N/A,,
Causeway,,,FALSE,Need questions filling out,N/A,,
Servitor,,Weblink,FALSE,,N/A,,
Concept,,,FALSE,,N/A,,
