Title,SiteAddress,SitePostcode,
UWTSD-Swansea,"Kings Road, Swansea",SA1 8AH
Kier Construction Quedgeley,"Central House, Sabre Close, Quedgeley, Gloucester",GL2 4NZ
Elgar House,"Elgar House, Holmer Road, Hereford ",HR4 9SF
Oxford STW,"Grenoble Road, Sandford-on-Thames, Oxford",OX4 4YU
Maidenhill Kitchen,"MaidenHill School, Kings Road, Stonehouse ",GL10 2HA
Churchdown School Academy,"Winston Road, Churchdown, Gloucester ",GL3 2RB
CLC Sports Centre,"Cheltenham Ladies College, Malvern Road, Cheltenham ",GL50 2NX
Aureus School,"Greenfinch Road, Harwell, Oxfordshire",OX11 0DL
Ribston School,"Stroud Road, Gloucester",GL1 5LE
Colwall C of E Primary School,"Mill Lane, Colwall, Malvern, Worcestershire ",WR13 6EQ
Cleeve School,"Two Hedges Road, Bishops Cleeve, nr Cheltenham ",GL52 8AE
Chalk Hill Primary School,"Candytuft Way, Harwell, Didcot",OX11 6FF
UTC Didcot,"Great Western Park, Off Wantage Road/Didcot Road, Oxfordshire",OX11 7TG
Phase II The Brewery Quarter,"5 Bennington Street, Cheltenham",GL50 4ED
GCC Shire Hall,"Shire Hall, Barrack Square, Gloucester          ",GL1 2HY
Rutherford Appleton Laboratories (RAL),"Rutherford Appleton Laboratory, Chilton, Didcot, Oxfordshire",OX11 0QX
UTC Berkeley,"Berkeley Power Station, Berkeley, Gloucestershire",GL13 9PA
Plot 3130 Oxford Business Park,"John Smith Drive, Oxford Business Park, Oxford ",OX4 2LL
Hereford County Hospital,"Stonebow Rd, Hereford",HR1 2ER
"Halo Sports Centre, Leominster","Bridge Street, Leominster, Herefordshire ",HR6 8EA
Hempstead Household Recycling - improvements,"Hempsted Lane, Gloucester",GL2 5FR
Honeybourne Place Cheltenham             ,"Jessop Avenue, Cheltenham, GLOUCESTERSHIRE",GL50 3SH
Gloucester Bus Station,"Station Road, Gloucester",GL1 1DF
"Eco Business Centre, Bicester","off Charlotte Ave, North West Bicester ",OX27 8TG
Tewkesbury Council Buildings,"Gloucester Road, Tewkesbury, Gloucestershire",GL20 5TT
"Abbey Wells, Tewkesbury","Church Street, Tewkesbury, Gloucestershire ",GL20 5RZ
Kier Environmental Witney,"Supergas Industrial Estate, Downs Road, Minster Lovell, WITNEY, Oxfordshire",OX29 0SZ
Sharpness Docks (STW),"Sharpness Docks, Nr Berkeley, Gloucestershire",GL13 9UD
Thames Water Kidlington,"Langfod Lane, Kidlington",OX5 1RB
New Kier Cheltenham office,"off Hatherley Ln, Cheltenham, Gloucestershire",GL51 6PN
Dene Magna School�,"Abenhall Road, Mitcheldean, Gloucestershire",GL17 0DU
DIO Duke of Gloucester Barracks,"Cirencester Road, South Cerney, Gloucestershire",GL7 5RD
"C11 Building (Gloucs Uni), Berkeley","Berkeley Green, Berkeley, Gloucestershire",GL13 9PA
Bettridge School,"Warden Hill Road, Cheltenham, Gloucestershire",GL51 3AT
"Council Offices, Blueschool House","Blueschool House, Blueschool Street, Hereford",HR1 2LX
Chosen Hill School,"Brookfield Road, Churchdown, Gloucester",GL3 2PL
Maple Grove site compound     ,"off Highworth Road, Shrivenham",SN6 8BL
Maple Grove Sales Office            ,"off Highworth Road, Shrivenham",SN6 8BL
Broadmoor,"Kier Construction Site Cabins, Broadmoor Hospital Redevelopment, Crowthorne, West Berks, RG45 7EG",RG45 7EG
South Mimms NCC,"St. Albans Road, South Mimms, Potters Bar, Hertfordshire, ",EN6 2PN
Breakspear,"Green Lane, Hemel Hempstead, Hertfordshire, ",HP2 4UE
The Gardens,"47 Basement Rear, The Gardens, East Dulwich, SE22 9QQ ",SE22 9QQ
"Kier Services I Unit 5, ","Central Depot, Forward Drive, Harrow, Middlesex. HA3 8NT",HA3 8NT
 Stockley Park,"4 Longwalk Road, Stockley Park, Uxbridge, Middx UB11 1FE",UB11 1FE
Weald Rise Primary School,"Chestnut drive/ robin hood drive, Harrow",HA3 7DL
Hackney," 312 Kingsland Road, Hackney, London, E8 4DE",E8 4DE
Marlborough Primary School,"Marlborough Hill, Harrow",HA1 1UJ
Ark Elvin Academy,"Cecil Avenue, Wembley",HA9 7DU
Aylward School,"Panbourne Drive, Stanmore",HA7 4RE
Toddington,"M1 Maintenance Office, N/B Service Area, Toddington, LU5 6HP",LU5 6HP
Cedars Manor School,"Whittlesea Rd, Harrow",HA3 6LS
Priestmead School,"Hartford Avenue, Kenton, Harrow",HA3 8SZ
Alperton School,"Ealing Rd, Wembley",HA0 4PW
Compass Theatre,"Glebe avenue, Uxbridge",UB10 8PD
Vivian Court,"128-134 Maida Vale, London",W9 1Pz
Cholomodeley Amenities,"Houses of Parliament, Westminster",SW1A 0AA
Watford Hospital,"Vicarage Rd, Watford, ",WD18 0HB
Genesis,"Utopia House,192 ? 196 Willesden High Street, London,NW10 2PB",NW10 2PB
Newport Pagnell,"Linford Lane, Newport Pagnel",MK16 8DS
Jewish Care,"Golders Green, NW11 9DQ",NW11 9DQ
Whitefriars School,"Whitefriars Avenue, Harrow",HA3 5PQ
Plot 4 Uxbridge Business Park,"Sanderson Road, Uxbridge, Middlesex, UB8 ",UB8
Staines,"44B Gresham Rd,Staines,Middlesex, TW18 2AN",TW18 2AN
Pisky/Kingsgate site,"Feock Rd, Playing Place, Truro, TR3 6HB",TR3 6HB
Carloggas,"Land off Carloggas Grove, St Columb, TR9 6RD",TR9 6RD
Land West Of West Gate,"Land West of Westgate, Butt Park Terrace, Churchstow, Kingsbridge, TQ7 3QN",TQ7 3QN
Wheal Harmony Phase 2,"Wheal Harmony Farm, Wheal Harmony, Redruth, TR15 1Ef",TR15 1EF
Westhill,"Land to the North of Eastfield, Westhill, Devon, EX11 1XN",EX11 1XN
Trecarrack Rd,"Land adjacent to Camborne, Cornwall, TR14 7UQ",TR14 7UQ
Finlake Holiday village,"Newton Abbot, Devon, TQ13 0EJ",TQ13 0EJ
Royal Cornwall Hospital (Level 0&1),"Truro, TR1 3LS",TR1 3LS
Royal Cornwall Hospital Minor Works,"Truro, TR1 3LS",TR1 3LS
Plymouth,"27-376 Martin st, Plymouth, PL1 3NE",PL1 3NE
Truro,"Victoria Wharf, Malpas Rd, Truro, TR1 1QH ",TR1 1QH
Roundswell,"2 Branham crescent, Barnstaple",EX31 3TD
Callywith College,"Old Callywith Rd, Bodmin, PL31 2RW",PL31 2RW
St Agnes Academy,"Trelawney Rd,St Agnes, TR5 0LZ",TR5 0LZ
Hatherleigh,"Hatchmoor Industrial Estate, Oakhampton",EX20 3LP
RCHT Macmillan Support Centre,"Royal Cornwall Hospital Trust, Treliske, TR1 3LJ",TR1 3LJ
Derriford Research Facility,"Plymouth Science Park, Research Way, Plymouth, PL6 8BU",PL6 8BU
"STEM (Science, Tech, Engineering & Math)","City College Plymouth, Kings Rd, Plymouth, PL1 5QG",PL1 5QG
Ashford WwTw,"Braunton Rd, Barnstaple",EX31 4BR
Fernworthy house,"Rydon Lane, Exeter",EX2 7HR
Torbay,"Lawes Bridge, Torquay, TQ2 7AA",TQ2 7AA
Torquay,"Lummerton Quarry, Happaway Rd, Torquay",TQ2 8ES
Crownhill,"Crownhill Depot, Sendals, Way, Plymouth",PL6 5UF
Dartmouth,"Wessex Way, Dartmouth, TQ6 0JL",TQ6 0JL
St Austell,"Dowrglann, Stennack Rd, St Austell",PL25 3SW
Plympton,"Unit D&E, Huxley Close, Newnham Industrial estate",PL7 4JN
Crownhill SWDO,"Southwest Water Distribution Offices, R/O Windsor House, Tavistock Road",PL6b 5DA
Paignton,"Kings Ash House, Paignton, Devon",TQ3 3XG
"Hawthorn House, Floor 1","Hawthorn House, Exeter Business Park, Exeter. EX1 3QS",EX1 3QS
Hawthorne House floor 2,"Hawthorn House, Exeter Business Park, Exeter. EX1 3QS",EX1 3QS
Exewater,"Eagle Way, Sowton Ind Estate, Exeter. EX2 7HY",EX2 7HY
Greendale,"Greendale Business Park, Woodley, Salterton, Exeter EX51EW",EX5 1EW
Beckley court,"Coburg Street, Plymouth PL1 1LD",PL1 1LD
A30,"Carbinham Compound, off Bodmin Airfield Road, Bodmin PL30 4HS",PL30 4HS
Tor 2,"Aspen Way, Paignton. TQ4 7QR",TQ4 7QR
Bodmin,Tregylls Yard,PL31 2AU
Buckingham Park/St. Nichs & St. Marys,"Buckingham Close, Shoreham by Sea, BN43 6BX",BN43 6BX
Bysing Wood School,"Lower Road, Faversham, Kent ME13 7NU",ME13 7NU
Castle Community School,"Hamilton Road, Deal, Kent CT14 9BW",CT14 9BW
Devonshire Park Players Village,"College Road, Eastbourne BN21 4JJ",BN21 4JJ
Flexi Plus Eurotunnel,"Channel Tunnel, Folkestone, Kent CT18 8XX",CT18 8XX
Headcorn Primary School,"Kings Road, Headcorn, Kent TN27 9QT",TN27 9QT
Meopham Library,"Wrotham Road, Wrotham, Kent DA13 0AH",DA13 0AH
Meopham Primary School,"Wrotham Road, Wrotham, Kent DA13 0AH",DA13 0AH
Rose Street School,"Rose Street, Sheerness, Kent ME12 1AW",ME12 1AW
Sessions House Staircase,"County Hall, Maidstone, Kent ME14 1XU",ME14 1XU
Sittingbourner AEC,"College Road, Sittinbourne, Kent ME10 1LF",ME10 1LF
Telferscot Primary School,"Telferscot Road, London SW12 0HW",SW12 0HW
Westlands Primary School,"Homewood Avenue, Sittinbourne, Kent ME10 1XN",ME10 1XN
Alexandra School,"Alexandra Road, Kingston-upon-Thames",KT2 6SE
Arndale Centre (Phase 1),"Unit 8A (adj. to West Entrance), terminus Rd, Eastbourne, BN21 3NW",BN21 3NW
Aylesford,"Bellingham Way, Aylesford Kent ME20 6XS",ME20 6XS
Cornerstone (Elekta),"Fleming Way, Crawley, RH10 9RR",RH10 9RR
Crawley,"Platinum House, Sussex Manor Business Park, Gatwick Rd, Crawley, RH10 9NH",RH10 9NH
Crown Lane School,"Crown Lane, Streatham",SW16 3HX
Foreland School,"off Pyssons Rd, Newlands Lane, Ramsgate, CT12 6RH",CT12 6RH
Gatwick Car Park,"Car Park 6, North Terminal, RH6 0PJ",RH6 0PJ
Harris Academy,"Manor Way, Beckenham, BR3 3SJ",BR3 3SJ
Hellingly Phase 1,"The Drive, Hellingly, Hailsham",BN27 4EP
Hextable Primary School,"St Davids Road, Hextable, Kent ",BR8 7RL 
King Athelstan School,"Villiers Road, Kingston-upon-Thames",KT1 3AR
Krishna Avanti School,"Southbridge Place, South Croydon, CR0 4HA",CR0 4HA
Signature Senior Living Care Home,"50-54 West St, Reigate, ",RH2 9DB
Templeman Library,"University of Kent, Canterbury, Kent, CT2 7NN",CT2 7NN
West Minster Primary school,"St Georges Avenue, Sheerness, ME12 1ET",ME12 1ET
Windlesham House School,"London Road, Washington, Pulborough, West Sussex, RH20 4AY",RH20 4AY
Long Mead Depot,"Long Mead depot, Blenheim Rd, Epsom",KT19 9DL
Amberstone,"Halesham Commercial Trade, Amberstone East Sussex BN27 1PE",BN27 1PE
Ash House,"Journeymans Way, Southend on Sea Essex SS2 5TF",SS2 5TF
Avenue of Remembrance,"Avenue of Remembrance, Sittingbourne Kent ME10 4DD",ME10 4DD
Beaverwood,"Beaverwood Road Depot, Bromley Kent BR7 6HF",BR7 6HF
Bellbrook Depot,"Brambelside, Bellbrook Uckfield TN22 1QQ",TN22 1QQ
Bexleyheath Academy,"Woolwich Road, Bexleyheath Kent DA6 7DA",DA6 7DA
Bulverhythe Depot,"Bridge Way, St Leonards On Sea East Sussex TN38 8AP",TN23 8AP
Burwash Road,"Burwash Road, Heathfield East Sussex TN21 8RA",TN21 8RA
Cartledge,"Unit 1, 6 River Mole Business Park, Mill Road, Esher, Surrey",KT10 8AS
Courtlands,"Unit 1-4, Courtlands, Eastbourne, BN22 8TR",BN22 8TR
Godstone,"Oxted Road, Godstone Surrey RH9 8BP",RH9 8BP
Northfleet Technology College,"Colyer Road, Northfleet Kent DA11 8BG",DA11 8BG
Ringmer,"The Broyle, Ringmer East Sussex BN8 5NP",BN8 5NP
St John?s Catholic School,"Rochester Road, Gravesend Kent DA12 2JW",DA12 2JW
Thamesview School,"Thong Lane, Gravesend Kent DA12 4LF",DA12 4LF
The Annex,"Central Depot, Bromley Kent BR1 2BS",BR1 2BS
Turkey Mill,"Ashford Road, Maidstone",ME14 5PP
Welling School,"Elsa Road, Wellingborough Kent DA16 1LB",DA16 1LB
Witham,"1 Stepfield, Witham Essex CM8 3TH",CM8 3TH
Worthing Hospital,"Lyndhurst Rd, Worthing, West Sussex, BN11 2DH ",BN11 2DH
Worthing Hospital Repair & renewal,"Lyndhurst Rd, Worthing, West Sussex, BN11 2DH ",BN11 2DH
Worthing Hospital EBME,"Lyndhurst Rd, Worthing, West Sussex, BN11 2DH ",BN11 2DH
Worthing Hospital Washington Suite,"Lyndhurst Rd, Worthing, West Sussex, BN11 2DH ",BN11 2DH
Worthing Hospital Intervention,"Lyndhurst Rd, Worthing, West Sussex, BN11 2DH ",BN11 2DH
St Richards Hospital Pathology ,"Spitalfield Lane, Chichester, West Sussex, PO19 6SE",PO19 6SE
St Richards Hospital Capital,"Spitalfield Lane, Chichester, West Sussex, PO19 6SE",PO19 6SE
Southampton General hospital,"SCCI, Tremona Rd, Southampton, SO16 6YD",SO16 6YD
DSTL Porton Down,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
DSTL Porton Down BLDG. 352,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
DSTL Porton Down BLDG 332,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
DSTL Porton Down BLDG 245,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
DSTL Porton Down BLDG 246,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
DSTL Porton Down BLDG 247,"Project Helios, Porton Down, Salisbury, SP4 0JQ",SP4 0JQ
Parkfield school,"Parley Lane, Hurn, Christchurch, BH23 6DF",BH23 6DF
Bitterne Park School,"1 Cope Wood Rd, Southampton, SO18 1BU",SO18 1BU
Fynning Hill Estate ,"Rogate, Nr Petersfield, Hants, GU31 5BU",GU31 5BU
Romsey Rd,"Southampton, S016 9GJ",SO16 9GJ
Godstone,"Kier MG Services, Godstone Highways Depot, The Old Tile Factory, Oxted Road,  Godstone,  Tandridge, Surrey, RH9 8BP",RH9 8BP
Castlepoint Bournemouth,"Kier Build Site Office (Portacabin), Rear of Next, Service Yard Entrance 1, Castlepoint Shopping Centre, Yeomans Road, Bournemouth, BH8 9UY",BH8 9UY
"Smiths, Castlepoint","Smiths News, First Floor Offices, Unit B Yeomans Industrial Park, Yeomans Way, Bournemouth, BH8 0BL",BH8 0BL
Gosport,"The Depot, Wilmott Lane, Gosport, Hants, PO12 3RY",PO12 3RY
Farnham Hospital,"Kier Facilities Office, Farnham Hospital & Local Care Centre , Manor Road , Farnham",GU9 9QL 
Newbury,"Old Bath Road, Newbury, Berkshire, RG14 1QL",RG14 1QL
Woking,"Kier Sales Office, Kingsmoor Park  - Plot 371 , 123 Liquorice Lane , Woking",GU22 9NY
St James School ? West End,"Moorgreen Road, West End, Southampton", SO30 3EG
King Richard School,"Allaway Avenue,Paulsgrove, Portsmouth",PO6 4QP
Southampton General hospital,"Children?s Emergency Dept. Tremona Rd, Southampton, SO16 6YD",SO16 6YD
Borough of Poole ?  Lilliput School     ,51 Lilliput School,BH14 8JX
Bournemouth University ,"Poole House, Talbot Campus",BH12 5BB
Albion House,"Chertsy Road, Woking",GU21 6BF
Butts Primary School ?  ,"Bolle Road, Alton",GU34 1PW
North Baddesley Infant & Junior School                             ,"Botley road, North Baddesley, Southampton",SO52 9EE
Baker Barracks,"Thorney Island, Emsworth",PO10 8DH
Rushmoor Borough Council,"Canna Enterprise Centre, Canna Depot, Lysons Ave. Farnborough",GU12 5QF
Romsey Primary School,"Mercer way, Romsey",SO51 7PH
University of Portsmouth Nurse Simulation Suite,St Andrews Court Portsmouth,PO1 2RR
University of Portsmouth,"Mercantile Building, Hampshire Terrace, Portsmouth",PO1 2EG
Basingstoke,Basingstoke RG21 4HG,RG21 4HG
Hampshire Fire & Rescue,"West Ham Close, Basingstoke, RG22 6PH",RG22 6PH
Harlow,"Mead Park Industrial Estate, Harlow CM20 2SE",CM20 2SE
Loughton," 2 Langston Rd, Loughton IG10 3SD",IG10 3SD
